iter	MultiClass
0	1.778800604
1	1.760605256
2	1.740796019
3	1.725726874
4	1.704224244
5	1.686818962
6	1.670757346
7	1.662705217
8	1.645846317
9	1.638921828
10	1.626336828
11	1.613285891
12	1.604258082
13	1.58905224
14	1.57958429
15	1.571609936
16	1.563675928
17	1.554154962
18	1.548616323
19	1.541345229
20	1.536262749
21	1.530052296
22	1.519777658
23	1.510714575
24	1.500576926
25	1.493511711
26	1.490105532
27	1.482329909
28	1.475275403
29	1.4688044
30	1.458475601
31	1.449701077
32	1.441747212
33	1.434677466
34	1.427653765
35	1.420974991
36	1.415668056
37	1.410724809
38	1.404175977
39	1.400179709
40	1.395051228
41	1.388960572
42	1.382361641
43	1.377456894
44	1.372550069
45	1.367686938
46	1.361703938
47	1.356925988
48	1.350145695
49	1.345087506
50	1.339702764
51	1.334263097
52	1.325890706
53	1.318915612
54	1.312487924
55	1.307042117
56	1.303115155
57	1.299594407
58	1.295321417
59	1.291022056
60	1.285728453
61	1.281913562
62	1.276760115
63	1.273474775
64	1.269305471
65	1.263960471
66	1.257358149
67	1.252999364
68	1.247356654
69	1.242722495
70	1.238602178
71	1.234157267
72	1.22724626
73	1.220893039
74	1.216077289
75	1.211048992
76	1.205041102
77	1.199510814
78	1.19479227
79	1.190866248
80	1.185626271
81	1.180619423
82	1.174042588
83	1.169494052
84	1.163754031
85	1.159161864
86	1.155077974
87	1.151347488
88	1.147094
89	1.142448535
90	1.137445655
91	1.133945579
92	1.128279641
93	1.12468301
94	1.120372952
95	1.116287565
96	1.111760413
97	1.107356598
98	1.10418753
99	1.100348317
