iter	Passed	Remaining
0	146	7178
1	148	3563
2	150	2355
3	152	1750
4	154	1387
5	155	1142
6	157	967
7	159	835
8	160	732
9	162	650
10	164	582
11	166	526
12	168	478
13	169	436
14	171	400
15	173	369
16	175	340
17	176	314
18	178	291
19	180	271
20	182	252
21	184	234
22	185	217
23	186	202
24	188	188
25	189	175
26	190	162
27	191	150
28	192	139
29	193	129
30	194	119
31	195	110
32	196	101
33	198	93
34	199	85
35	200	77
36	201	70
37	202	63
38	204	57
39	206	51
40	207	45
41	208	39
42	210	34
43	211	28
44	212	23
45	213	18
46	214	13
47	215	8
48	216	4
49	218	0
