iter	Passed	Remaining
0	142	6982
1	175	4223
2	177	2773
3	177	2046
4	178	1609
5	179	1318
6	180	1110
7	181	953
8	182	832
9	183	735
10	184	655
11	185	588
12	187	533
13	188	485
14	190	443
15	191	406
16	192	374
17	193	344
18	195	318
19	196	294
20	197	272
21	198	252
22	199	233
23	200	217
24	201	201
25	202	187
26	203	173
27	204	160
28	205	149
29	206	137
30	207	127
31	208	117
32	209	108
33	210	99
34	211	90
35	212	82
36	213	75
37	214	67
38	215	60
39	217	54
40	218	47
41	219	41
42	220	35
43	221	30
44	222	24
45	223	19
46	224	14
47	225	9
48	226	4
49	227	0
